run,grpo_step,answer_accuracy,format_accuracy,avg_response_token_length
grpo_sft256_step100_kl0p01_190,1,0.41015625,0.875,274.32421875
grpo_sft256_step100_kl0p01_190,2,0.65234375,0.96875,189.4296875
grpo_sft256_step100_kl0p01_190,3,0.5703125,0.984375,148.1953125
grpo_sft256_step100_kl0p01_190,4,0.4609375,0.96484375,216.8203125
grpo_sft256_step100_kl0p01_190,5,0.47265625,0.984375,201.24609375
grpo_sft256_step100_kl0p01_190,6,0.33203125,0.96484375,232.8359375
grpo_sft256_step100_kl0p01_190,7,0.515625,0.98828125,184.21875
grpo_sft256_step100_kl0p01_190,8,0.45703125,0.98828125,175.33984375
grpo_sft256_step100_kl0p01_190,9,0.45703125,0.9921875,168.84765625
grpo_sft256_step100_kl0p01_190,10,0.453125,0.96484375,183.359375
grpo_sft256_step100_kl0p01_190,11,0.41015625,0.96875,224.44140625
grpo_sft256_step100_kl0p01_190,12,0.609375,0.98828125,181.60546875
grpo_sft256_step100_kl0p01_190,13,0.48828125,0.984375,206.375
grpo_sft256_step100_kl0p01_190,14,0.5078125,0.96484375,199.7109375
grpo_sft256_step100_kl0p01_190,15,0.359375,0.953125,249.48046875
grpo_sft256_step100_kl0p01_190,16,0.4375,0.98046875,198.1640625
grpo_sft256_step100_kl0p01_190,17,0.39453125,0.95703125,232.2578125
grpo_sft256_step100_kl0p01_190,18,0.40234375,0.96484375,246.40625
grpo_sft256_step100_kl0p01_190,19,0.578125,0.96484375,195.86328125
grpo_sft256_step100_kl0p01_190,20,0.42578125,0.96484375,214.15234375
grpo_sft256_step100_kl0p01_190,21,0.4375,0.97265625,220.80078125
grpo_sft256_step100_kl0p01_190,22,0.484375,0.95703125,242.84765625
grpo_sft256_step100_kl0p01_190,23,0.515625,0.98046875,207.07421875
grpo_sft256_step100_kl0p01_190,24,0.47265625,0.984375,196.92578125
grpo_sft256_step100_kl0p01_190,25,0.49609375,0.9921875,173.015625
grpo_sft256_step100_kl0p01_190,26,0.45703125,0.98046875,238.62890625
grpo_sft256_step100_kl0p01_190,27,0.5625,0.984375,200.83984375
grpo_sft256_step100_kl0p01_190,28,0.55078125,0.97265625,218.83984375
grpo_sft256_step100_kl0p01_190,29,0.4765625,0.98046875,246.8359375
grpo_sft256_step100_kl0p01_190,30,0.47265625,0.96484375,261.58984375
grpo_sft256_step100_kl0p01_190,31,0.56640625,0.98046875,224.9375
grpo_sft256_step100_kl0p01_190,32,0.56640625,0.9921875,197.86328125
grpo_sft256_step100_kl0p01_190,33,0.5078125,0.99609375,192.484375
grpo_sft256_step100_kl0p01_190,34,0.546875,0.96484375,250.41796875
grpo_sft256_step100_kl0p01_190,35,0.39453125,0.953125,281.44921875
grpo_sft256_step100_kl0p01_190,36,0.41015625,0.9609375,254.99609375
grpo_sft256_step100_kl0p01_190,37,0.52734375,0.96875,231.80078125
grpo_sft256_step100_kl0p01_190,38,0.515625,0.953125,251.25390625
grpo_sft256_step100_kl0p01_190,39,0.59765625,0.9765625,216.26953125
grpo_sft256_step100_kl0p01_190,40,0.4453125,0.96484375,267.66796875
grpo_sft256_step100_kl0p01_190,41,0.53515625,0.95703125,235.99609375
grpo_sft256_step100_kl0p01_190,42,0.484375,0.96875,261.40625
grpo_sft256_step100_kl0p01_190,43,0.47265625,0.9765625,249.13671875
grpo_sft256_step100_kl0p01_190,44,0.515625,0.96875,236.8125
grpo_sft256_step100_kl0p01_190,45,0.47265625,0.953125,285.078125
grpo_sft256_step100_kl0p01_190,46,0.46875,0.9765625,247.7265625
grpo_sft256_step100_kl0p01_190,47,0.515625,0.984375,184.9140625
grpo_sft256_step100_kl0p01_190,48,0.41015625,0.95703125,291.3671875
grpo_sft256_step100_kl0p01_190,49,0.5,0.984375,265.41015625
grpo_sft256_step100_kl0p01_190,50,0.5859375,0.9921875,228.16015625
grpo_sft256_step100_kl0p01_190,51,0.640625,0.96875,269.63671875
grpo_sft256_step100_kl0p01_190,52,0.51171875,0.953125,267.5
grpo_sft256_step100_kl0p01_190,53,0.53515625,0.93359375,298.703125
grpo_sft256_step100_kl0p01_190,54,0.453125,0.953125,258.01953125
grpo_sft256_step100_kl0p01_190,55,0.52734375,0.9609375,258.3359375
grpo_sft256_step100_kl0p01_190,56,0.44921875,0.9453125,287.0546875
grpo_sft256_step100_kl0p01_190,57,0.6640625,0.984375,202.02734375
grpo_sft256_step100_kl0p01_190,58,0.53515625,0.9765625,242.4296875
grpo_sft256_step100_kl0p01_190,59,0.58203125,0.9921875,225.35546875
grpo_sft256_step100_kl0p01_190,60,0.3671875,0.98046875,273.31640625
grpo_sft256_step100_kl0p01_190,61,0.47265625,0.98046875,225.05078125
grpo_sft256_step100_kl0p01_190,62,0.4921875,0.96875,247.40234375
grpo_sft256_step100_kl0p01_190,63,0.6640625,0.9765625,198.2578125
grpo_sft256_step100_kl0p01_190,64,0.4453125,0.96875,247.71875
grpo_sft256_step100_kl0p01_190,65,0.55078125,0.9765625,238.08984375
grpo_sft256_step100_kl0p01_190,66,0.59765625,0.96484375,255.05078125
grpo_sft256_step100_kl0p01_190,67,0.41015625,0.9609375,266.90625
grpo_sft256_step100_kl0p01_190,68,0.51171875,0.9765625,225.76171875
grpo_sft256_step100_kl0p01_190,69,0.6328125,0.984375,219.21484375
grpo_sft256_step100_kl0p01_190,70,0.578125,0.96875,243.01171875
grpo_sft256_step100_kl0p01_190,71,0.3515625,0.9296875,317.4296875
grpo_sft256_step100_kl0p01_190,72,0.60546875,0.97265625,224.59375
grpo_sft256_step100_kl0p01_190,73,0.5390625,0.94140625,251.37109375
grpo_sft256_step100_kl0p01_190,74,0.51171875,0.96875,246.0703125
grpo_sft256_step100_kl0p01_190,75,0.54296875,0.9765625,225.9921875
grpo_sft256_step100_kl0p01_190,76,0.54296875,0.94921875,270.09765625
grpo_sft256_step100_kl0p01_190,77,0.4453125,0.95703125,305.6953125
grpo_sft256_step100_kl0p01_190,78,0.59375,0.96875,245.2734375
grpo_sft256_step100_kl0p01_190,79,0.5390625,0.9140625,293.4765625
grpo_sft256_step100_kl0p01_190,80,0.6328125,0.984375,219.734375
grpo_sft256_step100_kl0p01_190,81,0.609375,0.97265625,237.80078125
grpo_sft256_step100_kl0p01_190,82,0.60546875,0.9765625,232.94140625
grpo_sft256_step100_kl0p01_190,83,0.59375,0.96875,255.14453125
grpo_sft256_step100_kl0p01_190,84,0.48828125,0.91796875,296.64453125
grpo_sft256_step100_kl0p01_190,85,0.52734375,0.96484375,270.19140625
grpo_sft256_step100_kl0p01_190,86,0.5546875,0.984375,223.53125
grpo_sft256_step100_kl0p01_190,87,0.65625,0.98828125,199.19921875
grpo_sft256_step100_kl0p01_190,88,0.53515625,0.9609375,257.9921875
grpo_sft256_step100_kl0p01_190,89,0.65234375,0.984375,223.92578125
grpo_sft256_step100_kl0p01_190,90,0.70703125,0.97265625,215.14453125
grpo_sft256_step100_kl0p01_190,91,0.52734375,0.95703125,272.3515625
grpo_sft256_step100_kl0p01_190,92,0.45703125,0.9765625,284.421875
grpo_sft256_step100_kl0p01_190,93,0.66796875,0.9765625,227.52734375
grpo_sft256_step100_kl0p01_190,94,0.59765625,0.94140625,284.484375
grpo_sft256_step100_kl0p01_190,95,0.59765625,0.97265625,246.58203125
grpo_sft256_step100_kl0p01_190,96,0.609375,0.953125,266.7265625
grpo_sft256_step100_kl0p01_190,97,0.51171875,0.9453125,308.28515625
grpo_sft256_step100_kl0p01_190,98,0.5234375,0.95703125,279.3671875
grpo_sft256_step100_kl0p01_190,99,0.54296875,0.9140625,319.44921875
grpo_sft256_step100_kl0p01_190,100,0.53515625,0.96875,270.59375
grpo_sft256_step100_kl0p01_190,101,0.46484375,0.89453125,378.5
grpo_sft256_step100_kl0p01_190,102,0.62109375,0.96875,226.6328125
grpo_sft256_step100_kl0p01_190,103,0.6640625,0.98046875,233.93359375
grpo_sft256_step100_kl0p01_190,104,0.6171875,0.9375,302.18359375
grpo_sft256_step100_kl0p01_190,105,0.69921875,0.96484375,271.62890625
grpo_sft256_step100_kl0p01_190,106,0.58984375,0.97265625,260.66015625
grpo_sft256_step100_kl0p01_190,107,0.6328125,0.921875,282.77734375
grpo_sft256_step100_kl0p01_190,108,0.515625,0.88671875,345.3203125
grpo_sft256_step100_kl0p01_190,109,0.55078125,0.94140625,295.99609375
grpo_sft256_step100_kl0p01_190,110,0.609375,0.96484375,279.296875
grpo_sft256_step100_kl0p01_190,111,0.375,0.91796875,382.12890625
grpo_sft256_step100_kl0p01_190,112,0.55078125,0.8984375,339.6640625
grpo_sft256_step100_kl0p01_190,113,0.61328125,0.95703125,249.765625
grpo_sft256_step100_kl0p01_190,114,0.58984375,0.9140625,311.59375
grpo_sft256_step100_kl0p01_190,115,0.62109375,0.9375,285.44921875
grpo_sft256_step100_kl0p01_190,116,0.51171875,0.984375,313.91015625
grpo_sft256_step100_kl0p01_190,117,0.6953125,0.9375,256.23828125
grpo_sft256_step100_kl0p01_190,118,0.6328125,0.91796875,278.08984375
grpo_sft256_step100_kl0p01_190,119,0.6015625,0.953125,279.55078125
grpo_sft256_step100_kl0p01_190,120,0.5,0.984375,264.11328125
grpo_sft256_step100_kl0p01_190,121,0.609375,0.9296875,304.65234375
grpo_sft256_step100_kl0p01_190,122,0.41796875,0.9140625,379.21484375
grpo_sft256_step100_kl0p01_190,123,0.55859375,0.9375,325.34375
grpo_sft256_step100_kl0p01_190,124,0.6953125,0.984375,226.640625
grpo_sft256_step100_kl0p01_190,125,0.64453125,0.984375,241.3125
grpo_sft256_step100_kl0p01_190,126,0.69140625,0.98828125,249.8671875
grpo_sft256_step100_kl0p01_190,127,0.62890625,0.94921875,279.4140625
grpo_sft256_step100_kl0p01_190,128,0.65625,0.95703125,309.3984375
grpo_sft256_step100_kl0p01_190,129,0.62890625,0.9609375,257.2265625
grpo_sft256_step100_kl0p01_190,130,0.60546875,0.93359375,294.1328125
grpo_sft256_step100_kl0p01_190,131,0.53125,0.9609375,262.84375
grpo_sft256_step100_kl0p01_190,132,0.60546875,0.93359375,283.4609375
grpo_sft256_step100_kl0p01_190,133,0.53515625,0.96484375,243.53515625
grpo_sft256_step100_kl0p01_190,134,0.52734375,0.94921875,259.11328125
grpo_sft256_step100_kl0p01_190,135,0.74609375,0.984375,210.45703125
grpo_sft256_step100_kl0p01_190,136,0.6796875,0.9609375,263.66015625
grpo_sft256_step100_kl0p01_190,137,0.62890625,0.97265625,242.6953125
grpo_sft256_step100_kl0p01_190,138,0.6875,0.98046875,219.70703125
grpo_sft256_step100_kl0p01_190,139,0.62890625,0.96875,239.22265625
grpo_sft256_step100_kl0p01_190,140,0.5,0.953125,320.203125
grpo_sft256_step100_kl0p01_190,141,0.6484375,0.96875,268.36328125
grpo_sft256_step100_kl0p01_190,142,0.65234375,0.97265625,223.00390625
grpo_sft256_step100_kl0p01_190,143,0.76953125,0.95703125,208.51953125
grpo_sft256_step100_kl0p01_190,144,0.55859375,0.95703125,288.796875
grpo_sft256_step100_kl0p01_190,145,0.56640625,0.94921875,252.0078125
grpo_sft256_step100_kl0p01_190,146,0.5703125,0.95703125,248.2265625
grpo_sft256_step100_kl0p01_190,147,0.65625,0.953125,238.48046875
grpo_sft256_step100_kl0p01_190,148,0.6015625,0.96875,241.671875
grpo_sft256_step100_kl0p01_190,149,0.5859375,0.9609375,266.1484375
grpo_sft256_step100_kl0p01_190,150,0.53125,0.9609375,240.9609375
grpo_sft256_step100_kl0p01_190,151,0.515625,0.98046875,261.41796875
grpo_sft256_step100_kl0p01_190,152,0.51171875,0.98828125,234.0859375
grpo_sft256_step100_kl0p01_190,153,0.71484375,0.984375,227.0078125
grpo_sft256_step100_kl0p01_190,154,0.578125,0.96484375,269.09765625
grpo_sft256_step100_kl0p01_190,155,0.703125,0.96875,206.8359375
grpo_sft256_step100_kl0p01_190,156,0.62109375,0.984375,205.90625
grpo_sft256_step100_kl0p01_190,157,0.4921875,0.96484375,325.7890625
grpo_sft256_step100_kl0p01_190,158,0.734375,0.96484375,247.5859375
grpo_sft256_step100_kl0p01_190,159,0.5546875,0.93359375,325.98046875
grpo_sft256_step100_kl0p01_190,160,0.5234375,0.89453125,373.64453125
grpo_sft256_step100_kl0p01_190,161,0.6484375,0.9296875,301.171875
grpo_sft256_step100_kl0p01_190,162,0.69140625,0.96484375,239.72265625
grpo_sft256_step100_kl0p01_190,163,0.69921875,0.9453125,262.09765625
grpo_sft256_step100_kl0p01_190,164,0.53125,0.953125,282.5546875
grpo_sft256_step100_kl0p01_190,165,0.578125,0.96875,237.8828125
grpo_sft256_step100_kl0p01_190,166,0.66015625,0.96875,247.53515625
grpo_sft256_step100_kl0p01_190,167,0.6796875,0.96875,280.59375
grpo_sft256_step100_kl0p01_190,168,0.63671875,0.94140625,267.48828125
grpo_sft256_step100_kl0p01_190,169,0.625,0.93359375,291.9921875
grpo_sft256_step100_kl0p01_190,170,0.62109375,0.9296875,290.12890625
grpo_sft256_step100_kl0p01_190,171,0.671875,0.9609375,277.27734375
grpo_sft256_step100_kl0p01_190,172,0.65625,0.953125,273.7578125
grpo_sft256_step100_kl0p01_190,173,0.5703125,0.91796875,313.50390625
grpo_sft256_step100_kl0p01_190,174,0.53515625,0.96875,294.16015625
grpo_sft256_step100_kl0p01_190,175,0.66015625,0.953125,296.07421875
grpo_sft256_step100_kl0p01_190,176,0.55859375,0.92578125,308.1875
grpo_sft256_step100_kl0p01_190,177,0.5703125,0.8671875,375.74609375
grpo_sft256_step100_kl0p01_190,178,0.65234375,0.95703125,282.9453125
grpo_sft256_step100_kl0p01_190,179,0.6640625,0.9453125,264.30859375
grpo_sft256_step100_kl0p01_190,180,0.70703125,0.94921875,308.28515625
grpo_sft256_step100_kl0p01_190,181,0.6171875,0.890625,353.08984375
grpo_sft256_step100_kl0p01_190,182,0.63671875,0.95703125,281.99609375
grpo_sft256_step100_kl0p01_190,183,0.76171875,0.9765625,254.7109375
grpo_sft256_step100_kl0p01_190,184,0.703125,0.9296875,295.94140625
grpo_sft256_step100_kl0p01_190,185,0.7109375,0.9375,262.1171875
grpo_sft256_step100_kl0p01_190,186,0.68359375,0.94921875,309.91015625
grpo_sft256_step100_kl0p01_190,187,0.7421875,0.9609375,278.31640625
grpo_sft256_step100_kl0p01_190,188,0.66015625,0.9296875,307.3671875
grpo_sft256_step100_kl0p01_190,189,0.6171875,0.91796875,322.72265625
grpo_sft256_step100_kl0p01_190,190,0.578125,0.91015625,346.83203125
